,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,meanRR,meanRG,meanRB,StdDevRR,StdDevRG,StdDevRB,skewRR,skewRG,skewRB,kurtosisRR,kurtosisRG,kurtosisRB,entropyRR,entropyRG,entropyRB,meanH,meanS,meanV,StdDevH,StdDevS,StdDevV,skewH,skewS,skewV,kurtosisH,kurtosisS,kurtosisV,entropyH,entropyS,entropyV,meanL,meanA,meanB,StdDevL,StdDevA,StdDevB,skewL,skewA,skewB,kurtosisL,kurtosisA,kurtosisB,entropyL,entropyA,entropyB,meanY,meanCb,meanCr,StdDevY,StdDevCb,StdDevCr,skewY,skewCb,skewCr,kurtosisY,kurtosisCb,kurtosisCr,entropyY,entropyCb,entropyCr,meanXX,meanYY,meanZZ,StdDevXX,StdDevYY,StdDevZZ,skewXX,skewYY,skewZZ,kurtosisXX,kurtosisYY,kurtosisZZ,entropyXX,entropyYY,entropyZZ,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,ALLdaub4H,ALLdaub4S,ALLdaub4V,ALLdaub4L,ALLdaub4a,ALLdaub4b,ALLdaub4Y,ALLdaub4Cb,ALLdaub4Cr,ALLdaub4XX,ALLdaub4YY,ALLdaub4ZZ,CLASS
57306,6918,311.803,121.2235,73.0577,0.798,93.8524,0.9842,7029,0.7161,1.6593,0.8942,0.7742,0.0175,0.0106,0.5994,0.9946,216.5176,215.1593,230.295,21.0633,21.0109,23.5013,-1.5407,-1.5231,-1.4384,6.4468,6.4414,5.7346,-3529989632,-3482085120,-4044024320,0.6775,0.0651,0.9031,0.0372,0.0254,0.0922,-15.0724,-0.1052,-1.4388,272.1196,3.5182,5.735,2459.3511,171.8366,992.1164,220.352,130.6743,120.5934,19.4869,1.2954,3.0419,-1.6307,-0.2925,0.3546,6.9642,2.9089,3.1618,-3660492800,-1151376384,-965107136,202.6269,134.4655,127.3472,18.2467,2.6726,0.4761,-1.5225,-0.3841,0.6417,6.3962,2.9452,1.4117,-3048387328,-1226783104,-1087584384,0.6808,0.7005,0.8614,0.1354,0.139,0.1776,-0.9722,-0.9659,-0.9443,3.9491,3.983,3.6498,2203.353,2132.6592,977.8193,108.2293,107.5506,115.1206,0.339,0.0326,0.4515,110.1504,65.3372,60.2958,101.2892,67.2338,63.6733,0.3402,0.3501,0.4305,Karacadag
11882,7511,343.753,141.4876,68.468,0.8751,97.7921,0.9751,7703,0.6209,2.0665,0.7988,0.6912,0.0188,0.0091,0.4777,0.9872,210.6524,211.2556,217.4046,16.0351,16.2783,15.8893,-1.3699,-1.3609,-1.5184,7.1324,7.0096,8.0137,-3592715776,-3615903232,-3847051008,0.6472,0.0317,0.8526,0.0355,0.0094,0.0623,-12.9981,1.3486,-1.5177,236.5889,4.6067,8.0131,2724.2839,54.5849,1665.8254,215.9458,128.3603,124.6187,14.89,0.6039,0.9733,-1.4874,1.5128,-1.0593,7.7939,4.6212,4.6765,-3788055552,-1201646208,-1125769344,197.857,130.5528,127.0791,13.8394,1.0025,0.2699,-1.3878,1.2742,3.1196,7.1933,3.4599,10.73,-3128881408,-1247443968,-1175317504,0.6322,0.661,0.7585,0.1004,0.106,0.1167,-0.8147,-0.8003,-0.8897,4.3704,4.2874,4.7146,2603.5925,2542.9363,2150.2239,105.3448,105.6461,108.7203,0.3236,0.0159,0.4264,107.9923,64.1808,62.3097,98.9438,65.276,63.5397,0.3161,0.3305,0.3793,Arborio
66977,5698,284.073,108.1013,67.7707,0.7791,85.1758,0.9845,5788,0.6967,1.5951,0.8873,0.7879,0.019,0.0119,0.6208,0.9903,203.9161,201.9633,226.1862,18.9413,19.0208,20.8468,-1.194,-1.1657,-1.4385,6.0678,5.9481,7.0675,-2547579136,-2495269120,-3194794240,0.6805,0.1068,0.887,0.013,0.0268,0.0818,-25.1283,-0.3891,-1.4384,1333.1246,3.3484,7.0674,2029.6427,297.3298,973.7961,209.0504,132.2081,116.1471,17.7267,1.1388,3.1359,-1.3034,-0.2016,0.6071,6.5971,4.897,3.3241,-2685106432,-973016448,-731683008,192.3347,138.1848,126.9621,16.4254,2.7115,0.6735,-1.2156,-0.5667,-0.0102,6.1698,3.5279,2.4161,-2237784320,-1073034624,-889837568,0.6049,0.6132,0.8162,0.116,0.119,0.155,-0.6269,-0.5849,-0.7383,3.9156,3.7875,4.3097,1951.671,1941.0873,1204.3458,101.9201,100.9432,113.0593,0.3402,0.0534,0.4434,104.4907,66.1045,58.0732,96.1341,69.0929,63.4813,0.3022,0.3064,0.4078,Karacadag
39053,14220,481.78,200.911,91.1209,0.8912,134.5565,0.9796,14516,0.6511,2.2049,0.7699,0.6697,0.0141,0.0064,0.4485,0.989,244.3932,245.3917,244.1378,11.3401,11.2316,11.4166,-3.2431,-3.5027,-3.1565,21.8652,23.7334,21.2649,-9365978112,-9448961024,-9345034240,0.2327,0.0068,0.9624,0.1826,0.0059,0.044,-0.0267,1.249,-3.5027,1.7834,7.6606,23.7405,2321.1326,9.9837,932.7149,246.2101,127.482,128.3769,10.1586,0.5042,0.6844,-3.5817,0.0918,2.4636,24.8702,1.147,12.5108,-9513159680,-2240766464,-2275654656,226.3816,127.6349,127.547,9.6875,0.6367,0.5264,-3.3873,-2.0104,0.1127,22.9048,8.8495,1.679,-7921282560,-2246726656,-2243293952,0.8684,0.9167,0.9908,0.0822,0.0862,0.0951,-2.4244,-2.5144,-2.2889,14.0502,14.5546,13.3058,2783.0803,1799.7235,-101.7112,122.1931,122.693,122.0651,0.1163,0.0034,0.4812,123.1018,63.7406,64.1887,113.1888,63.8173,63.7732,0.4341,0.4583,0.4953,Ipsala
13516,6868,303.003,115.2292,76.3037,0.7493,93.5126,0.9882,6950,0.7927,1.5101,0.94,0.8115,0.0168,0.0111,0.6586,0.9946,206.0416,205.3203,225.9353,14.6196,14.5686,16.1913,-2.2164,-2.2885,-2.6708,13.6011,13.7782,14.8086,-3126866944,-3102966016,-3825221888,0.6727,0.0923,0.886,0.0133,0.0186,0.0635,0.261,-1.3708,-2.6703,12.6086,5.0765,14.8069,2461.606,283.4517,1232.5222,211.7095,131.2954,117.7713,13.6221,0.9718,2.3462,-2.5176,-0.9724,0.9824,15.2126,4.2686,4.0658,-3314310144,-1155003776,-909012096,194.5314,136.8722,126.6492,12.6111,2.0503,0.6634,-2.3709,-1.1136,0.3708,14.1184,4.5036,2.4781,-2754342144,-1266189056,-1066728704,0.6153,0.6288,0.8132,0.0875,0.0899,0.1156,-1.4005,-1.3143,-1.7185,8.5823,8.4386,9.026,2427.8855,2413.739,1659.6486,102.9953,102.6353,112.9368,0.3364,0.0461,0.4429,105.8298,65.6465,58.888,97.2428,68.4333,63.3245,0.3075,0.3142,0.4064,Karacadag
38959,5120,322.487,148.5508,44.8887,0.9533,80.7402,0.9734,5260,0.4977,3.3093,0.6187,0.5435,0.029,0.0088,0.2954,0.9776,198.4418,198.8461,203.6643,12.7764,12.8545,12.8489,-1.6134,-1.713,-1.818,11.6436,11.7904,12.6633,-2144635264,-2154298880,-2269600768,0.6313,0.0269,0.7987,0.1151,0.01,0.0504,-5.0142,0.6263,-1.8177,27.7352,6.9484,12.6628,1798.288,28.9731,1436.3149,204.5939,128.3201,125.5283,11.9699,0.5763,1.0657,-1.8579,1.7087,-0.8046,12.7342,5.2534,5.6142,-2290713600,-818555136,-779828416,187.1297,130.117,127.2951,10.9908,0.8929,0.4561,-1.7018,1.5791,0.8984,11.8995,8.517,1.8073,-1884295808,-844080832,-804191872,0.5498,0.5753,0.6544,0.0738,0.0776,0.0864,-0.7242,-0.7394,-0.811,7.8288,7.7524,8.2164,1803.8917,1818.3162,1781.0262,99.1647,99.3656,101.7772,0.3156,0.0135,0.3991,102.2378,64.1611,62.7635,93.5142,65.0597,63.6477,0.2746,0.2874,0.3269,Jasmine
31095,6697,311.439,121.5265,71.0165,0.8115,92.3411,0.9747,6871,0.7343,1.7112,0.8676,0.7598,0.0181,0.0106,0.5774,0.988,226.4562,224.943,238.1961,21.593,21.8099,21.1471,-1.6454,-1.5532,-2.0578,6.8401,6.4705,8.3663,-3767483648,-3714165760,-4200581888,0.6844,0.0563,0.9341,0.0293,0.0206,0.0829,-17.0259,-0.244,-2.0581,402.8449,2.6164,8.3668,2370.5083,130.2832,671.0229,229.0983,130.3996,121.5602,19.8411,1.1161,2.3306,-1.7157,-0.2712,0.396,7.266,2.3674,2.372,-3856463104,-1109397248,-950563904,210.871,133.5829,127.6156,18.5492,2.1476,0.4883,-1.6512,-0.4102,-0.4523,6.8079,2.2885,1.2672,-3218446336,-1170272512,-1057744384,0.7484,0.7727,0.9293,0.1425,0.1501,0.1661,-1.1655,-1.0723,-1.4888,4.3614,4.1415,5.1896,1870.0421,1713.5511,360.6933,113.1408,112.3845,119.0154,0.3423,0.0282,0.4667,114.4689,65.2011,60.777,105.3606,66.793,63.8068,0.3737,0.3858,0.464,Karacadag
36880,9749,442.063,201.8938,62.1834,0.9514,111.4128,0.9758,9991,0.7614,3.2467,0.6269,0.5518,0.0207,0.0064,0.3045,0.9887,213.24,237.0179,239.1743,10.786,11.9079,11.6166,-2.5336,-3.4681,-3.5458,16.4697,20.4518,21.4825,-4769776128,-6008601088,-6127289344,0.5126,0.11,0.9398,0.0188,0.0187,0.0454,-0.1507,0.5326,-3.6126,3.8572,6.5599,21.9383,3418.0073,525.7409,1014.6389,234.6524,120.1316,124.0882,10.5011,1.3606,1.6602,-3.5142,1.4139,-0.4796,21.567,6.4938,5.3049,-5874625024,-1347675392,-1447736320,213.6538,132.2975,117.3392,9.7662,1.5427,1.7411,-3.3286,1.0391,1.1516,20.1385,5.915,6.362,-4787174912,-1667399296,-1279591680,0.7367,0.813,0.9387,0.0734,0.0817,0.092,-2.4763,-2.6301,-2.8154,13.6867,14.0301,15.022,3118.2756,2513.4126,866.9175,106.6294,118.517,119.5984,0.2563,0.055,0.4699,117.3343,60.0673,62.0429,106.8357,66.1487,58.6707,0.3684,0.4065,0.4694,Jasmine
50709,7597,412.695,195.5347,50.4274,0.9662,98.3504,0.975,7792,0.8291,3.8776,0.5605,0.503,0.0257,0.0066,0.253,0.981,217.8099,215.831,240.1947,16.309,16.8794,15.2234,-1.1873,-0.9711,-3.4509,7.7113,6.7423,19.0153,-3908307456,-3833602304,-4829307392,0.6742,0.1021,0.942,0.0519,0.0395,0.0595,-8.6603,-0.7368,-3.4442,85.8645,2.6404,18.9756,2689.2485,383.2582,732.2127,221.7534,132.2094,116.1549,15.0637,1.9131,4.7186,-1.3148,-0.5585,0.7773,8.3087,2.7153,2.7957,-4059504128,-1297555072,-976864320,204.2526,138.3111,126.9525,13.9392,4.1114,0.7605,-1.3322,-0.7549,-0.2346,8.2546,2.8368,2.8866,-3391865600,-1434460928,-1186211840,0.6967,0.708,0.9305,0.1043,0.1131,0.1166,-0.8317,-0.4996,-2.4557,5.7486,4.7645,12.0508,2486.3655,2412.9878,677.9197,108.8854,107.8981,120.0648,0.337,0.051,0.4709,110.8583,66.1015,58.0836,102.1075,69.1492,63.4765,0.3483,0.354,0.4651,Basmati
11683,6349,291.327,107.9658,75.5474,0.7144,89.9099,0.9815,6469,0.7185,1.4291,0.9401,0.8328,0.017,0.0119,0.6935,0.9911,200.8734,200.3985,225.9535,15.362,15.5131,18.0334,-1.1781,-1.1829,-1.4424,9.2144,9.0873,9.7933,-2737184256,-2723538176,-3542368512,0.6704,0.1141,0.8861,0.0108,0.022,0.0707,0.4504,-1.1043,-1.4426,3.2823,3.8641,9.7936,2280.5037,363.5389,1120.9747,207.4352,131.9716,115.3475,14.492,0.9512,2.7824,-1.3859,-0.8234,1.0329,10.3156,3.9666,3.4278,-2932999424,-1079881472,-802768256,190.7401,138.9715,126.2107,13.435,2.4442,0.8048,-1.2446,-1.0022,0.6433,9.4037,3.5316,3.1507,-2441188352,-1210555008,-978616960,0.5903,0.599,0.8103,0.0959,0.0977,0.1349,-0.3688,-0.3267,-0.4946,4.9966,4.907,5.0708,2222.8066,2219.0403,1465.7754,100.3799,100.1388,112.9124,0.3352,0.057,0.4428,103.666,65.9859,57.6768,95.3188,69.4844,63.1064,0.2947,0.2991,0.4046,Karacadag
