,market,name,description,displayAddress,street,city,state,zipCode,timezone,latitude,longitude,averageRating,ratingCount,priceRange,imageUrl,asapDeliveryAvailable,asapDeliveryTimeMinutes,pickupAvailable,asapPickupAvailable,asapPickupMinutes
0,"Houston, TX",McDonald's,"$ • American, Burgers","2017 Main St Parking, 2017 Main St, Houston, TX 77002, USA",2017 Main street,Houston,TX,77002.0,US/Central,29.748692,-95.370802,3.85029602050781,5237,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/efe58558-a9dc-466d-922b-ecce4b3213b1.png",True,17,False,False,10
2,"Houston, TX",Chick-fil-A,"$ • Chicken, American","2222 Shearn St, Houston, TX 77007, USA",2222 Shearn Street,Houston,TX,77007.0,US/Central,29.7748244,-95.3810132,4.71721076965332,20220,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Chick-fil-AÂ_logo.png",True,32,False,False,10
4,"Houston, TX",Panda Express,"$$ • Chicken, Fast Food","1913 Taylor St, Houston, TX 77007, USA",1913 Taylor Street,Houston,TX,77007.0,US/Central,29.7748868,-95.3818701,4.53161478042603,4191,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/panda_express_logo.png",False,20,False,True,6
5,"Houston, TX",Chipotle,"$$ • Mexican, Tacos","909 Texas St B, Houston, TX 77002, USA",909 Texas Street,Houston,TX,77002.0,US/Central,29.7600926021268,-95.3625534608786,4.49468517303467,5644,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ChipotelLogo1.jpg",False,17,False,True,6
8,"Houston, TX",Jack in the Box,"$$ • Chicken, Burgers","3110 W Dallas St, Houston, TX 77019, USA",3110 West Dallas Street,Houston,TX,77019.0,US/Central,29.7577552,-95.3985315,4.25394678115845,1520,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Jack_Cover_Square.jpg",True,20,True,True,28
9,"Houston, TX",Burger King,"$$ • American, Burgers","Burger King, 2316 Scott St, Houston, TX 77004, USA",2316 Scott Street,Houston,TX,77004.0,US/Central,29.734045,-95.3485183,4.14717483520508,761,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d43b7d43-f85b-4645-a31b-89abf0d9a407.png",True,20,False,False,10
11,"Houston, TX",Gyro Hut,"$$ • Mediterranean, Takeout","Gyro Hut, 2807 Old Spanish Trail, Houston, TX 77054, USA",2807 Old Spanish Trail,Houston,TX,77054.0,US/Central,29.6995041,-95.3857595,4.72581100463867,9953,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9f901661-e992-4e26-b7a3-bced53a7b473.png",False,27,False,True,4
12,"Houston, TX",Little Caesars Pizza,"$$ • Pizza, Deep Dish Pizza","6213 Lyons Ave #100, Houston, TX 77020, USA",6213 Lyons Avenue,Houston,TX,77020.0,US/Central,29.7768608,-95.3077592,4.50050401687622,993,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d31d7a89-dc79-4c72-bc22-533686acaa7a.png",False,33,False,False,20
13,"Houston, TX",The Rice Box,"$$ • Asian, Asian Food","The Rice Box, 1111 S Shepherd Dr, Houston, TX 77019, USA",1111 South Shepherd Drive,Houston,TX,77019.0,US/Central,29.7556801,-95.4085339,4.64485597610474,41479,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9382479a-1ced-4b51-ad5e-854078f7a3e1.png",False,23,False,True,13
15,"Houston, TX",Torchy's Tacos,"$ • Mexican, Tacos","2411 S Shepherd Dr, 2411 South Shepherd Drive, Houston, TX 77019, USA",2411 South Shepherd Drive,Houston,TX,77019.0,US/Central,29.7440974,-95.4104148,4.62627601623535,20285,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3d14b3a1-f4df-4eca-a0d5-bdcf6db1ad80.png",True,27,True,True,16
17,"Houston, TX",Whataburger,"$ • Breakfast, Fast Food","3636 N Main St, Houston, TX 77009, USA",3636 North Main Street,Houston,TX,77009.0,US/Central,29.7913369,-95.3732016,4.27980899810791,629,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/185dbfce-0343-4325-8547-55b157c68db5.png",True,28,False,False,7
18,"Houston, TX",Starbucks,"$ • Coffee, Cafe","914 Dallas St, Houston, TX 77002, USA",914 Dallas Street,Houston,TX,77002.0,US/Central,29.755549,-95.3666532,4.74178409576416,213,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/2c09d946-5237-4271-9f64-a23a83b3e8a1.05",True,15,False,False,4
19,"Houston, TX",Sonic Drive-in,"$$ • American, Burgers","2720 Washington Ave, Houston, TX 77007, USA",2720 Washington Avenue,Houston,TX,77007.0,US/Central,29.7690238,-95.3874318,4.08909702301025,3210,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/be7348b1-9747-4a8f-b532-3452d38de6f3.png",True,19,True,True,14
20,"Houston, TX",Dunkin',"$$ • Coffee & Tea, Donuts","2330 S Shepherd Dr, Houston, TX 77019, USA",2330 South Shepherd Drive,Houston,TX,77019.0,US/Central,29.7448915,-95.4108887,4.57973194122314,671,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/98851814-9e10-467f-8867-ec8586529624.png",True,22,True,True,9
21,"Houston, TX",Charleys Cheesesteaks,"$$ • Sandwich, Chicken","111 Yale St, Houston, TX 77007, USA",111 Yale Street,Houston,TX,77007.0,US/Central,29.7726545643198,-95.4008299035375,4.10833311080933,240,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3f655051-2d4d-4352-833e-080e801738af.jpg",False,27,False,True,5
24,"Houston, TX",Schlotzsky's,"$$ • Sandwiches, Salads","Schlotzsky's, 76 Yale St, Houston, TX 77007, USA",76 Yale Street,Houston,TX,77007.0,US/Central,29.7703012,-95.3983027,4.73712015151978,4542,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/b942b65b-2368-4c57-822f-59729676049e.jpg",True,34,True,True,5
26,"Houston, TX",Montrose Chinese Restaurant,"$ • Chinese, Asian","1952 Montrose Blvd, Houston, TX 77006, USA",1952 Montrose Boulevard,Houston,TX,77006.0,US/Central,29.7513072,-95.3924021,4.5866551399231,9157,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1745cde6-b369-49ee-ad28-c24c416eeebb.png",False,19,False,True,14
27,"Houston, TX",MOD Pizza,"$ • Pizza, Fast Food","MOD Pizza, 1911 Taylor St Suite A, Houston, TX 77007, USA",1911 Taylor Street,Houston,TX,77007.0,US/Central,29.7748706,-95.382619,4.5619478225708,4641,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/5c7d927d62765.image.png",False,24,False,True,16
28,"Houston, TX",Wendy's,"$$ • Dessert, Salads","Wendy's, 210 Patton St, Houston, TX 77009, USA",210 Patton Street,Houston,TX,77009.0,US/Central,29.7974892,-95.369959,4.25603008270264,2363,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/cdd6c814-7677-4d83-9b7b-b88dc77ffa36.jpg",True,22,False,False,10
31,"Houston, TX",Pei Wei,"$$ • Asian Food, Takeout","5110 Buffalo Speedway #100, Houston, TX 77005, USA",5110 Buffalo Speedway,Houston,TX,77005.0,US/Central,29.727886,-95.4290503,4.56103515625,4481,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Pei_Wei_Asian_Kitchen_logo_.jpg",False,27,False,False,13
33,"Houston, TX",Louisiana Famous Fried Chicken,"$ • Tacos, Takeout","2001 Fannin St, Houston, TX 77002, USA",2001 Fannin Street,Houston,TX,77002.0,US/Central,29.7482524,-95.3701927,4.33905076980591,4722,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9a0bb46b-f1d6-4ec3-b7ed-cdc383a99b05.png",False,20,False,True,15
