id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
37980,32.0,male,Associate,96865.0,10,MORTGAGE,7500.0,EDUCATION,6.04,0.08,10.0,601,No,0
9912,24.0,male,Associate,56838.0,6,RENT,9000.0,EDUCATION,11.49,0.16,4.0,647,Yes,0
43387,22.0,female,Master,37298.0,0,RENT,5000.0,MEDICAL,14.88,0.13,4.0,711,No,1
13823,23.0,female,Bachelor,39944.0,1,OWN,5000.0,VENTURE,13.99,0.13,3.0,597,Yes,0
44811,42.0,male,High School,67974.0,20,MORTGAGE,10000.0,HOMEIMPROVEMENT,15.41,0.15,11.0,586,No,1
18496,31.0,female,Bachelor,28765.0,7,OWN,4500.0,PERSONAL,5.79,0.16,9.0,669,No,0
25556,31.0,female,Bachelor,100810.0,7,RENT,12000.0,PERSONAL,12.42,0.12,7.0,670,Yes,0
13317,25.0,female,Bachelor,45608.0,3,RENT,2800.0,HOMEIMPROVEMENT,16.29,0.06,3.0,628,No,1
12930,25.0,female,High School,88778.0,0,MORTGAGE,12000.0,HOMEIMPROVEMENT,11.11,0.14,4.0,590,No,1
28375,29.0,female,Associate,54924.0,8,RENT,12000.0,MEDICAL,12.99,0.22,8.0,672,No,0
43685,28.0,male,Bachelor,21570.0,2,RENT,3344.0,DEBTCONSOLIDATION,13.01,0.15,6.0,574,No,1
26717,33.0,female,Bachelor,133147.0,13,MORTGAGE,23800.0,MEDICAL,10.25,0.18,5.0,650,No,0
1571,24.0,male,Master,39682.0,2,RENT,1500.0,MEDICAL,9.91,0.04,3.0,587,No,1
40274,27.0,male,Bachelor,81346.0,8,RENT,5000.0,PERSONAL,14.09,0.06,5.0,607,Yes,0
10856,23.0,male,Master,85109.0,0,OWN,11000.0,VENTURE,7.14,0.13,4.0,653,No,0
8719,26.0,male,Associate,73103.0,3,MORTGAGE,8000.0,PERSONAL,16.77,0.11,2.0,552,Yes,0
21248,30.0,female,Associate,56403.0,7,OWN,6000.0,PERSONAL,12.68,0.11,6.0,690,Yes,0
30424,39.0,female,Associate,46495.0,21,RENT,7000.0,DEBTCONSOLIDATION,11.49,0.15,11.0,631,No,0
19496,35.0,female,Associate,60776.0,11,RENT,12000.0,MEDICAL,13.47,0.2,7.0,610,Yes,0
7616,25.0,female,Master,90940.0,0,RENT,6400.0,PERSONAL,15.99,0.07,2.0,489,Yes,0
17516,26.0,male,Associate,62332.0,4,MORTGAGE,13000.0,DEBTCONSOLIDATION,15.33,0.21,2.0,622,No,1
30444,43.0,male,High School,55044.0,19,RENT,7000.0,EDUCATION,5.42,0.13,12.0,662,No,0
30603,39.0,female,High School,54331.0,12,RENT,8000.0,MEDICAL,12.53,0.15,14.0,586,No,0
1389,22.0,male,High School,32673.0,0,MORTGAGE,1550.0,HOMEIMPROVEMENT,11.01,0.05,2.0,630,No,1
37634,32.0,female,Bachelor,85210.0,6,MORTGAGE,5000.0,MEDICAL,11.47,0.06,6.0,680,No,0
21717,29.0,female,Master,60991.0,6,MORTGAGE,13650.0,MEDICAL,10.99,0.22,9.0,626,Yes,0
33139,31.0,female,Bachelor,163187.0,7,MORTGAGE,3574.0,VENTURE,13.13,0.02,9.0,553,Yes,0
10853,21.0,male,Bachelor,53822.0,0,RENT,10000.0,PERSONAL,14.74,0.19,4.0,642,No,0
21965,29.0,male,Bachelor,85017.0,10,RENT,6125.0,VENTURE,7.49,0.07,8.0,678,No,0
9355,26.0,male,High School,74170.0,3,OWN,1500.0,HOMEIMPROVEMENT,12.84,0.02,2.0,623,No,0
25947,29.0,male,Bachelor,112889.0,5,MORTGAGE,20000.0,PERSONAL,16.82,0.18,8.0,652,Yes,0
24781,35.0,female,Bachelor,92012.0,9,MORTGAGE,22000.0,HOMEIMPROVEMENT,9.88,0.24,8.0,535,Yes,0
41448,32.0,male,Master,94489.0,12,RENT,13000.0,HOMEIMPROVEMENT,12.53,0.14,10.0,607,Yes,0
27246,30.0,male,Master,157043.0,6,MORTGAGE,27000.0,VENTURE,11.71,0.17,6.0,676,Yes,0
43593,30.0,male,Bachelor,41338.0,7,RENT,13724.0,MEDICAL,15.49,0.33,10.0,691,No,1
29815,47.0,male,Master,47919.0,26,MORTGAGE,5600.0,EDUCATION,8.59,0.12,11.0,658,No,0
29042,33.0,female,Associate,37333.0,9,RENT,6500.0,DEBTCONSOLIDATION,8.49,0.17,10.0,697,Yes,0
11276,25.0,male,Associate,81212.0,2,MORTGAGE,12000.0,DEBTCONSOLIDATION,9.63,0.15,4.0,636,No,1
14007,26.0,male,High School,120871.0,3,MORTGAGE,9200.0,VENTURE,6.03,0.08,3.0,677,No,0
11900,24.0,male,Master,86114.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,14.96,0.06,3.0,663,No,1
6808,23.0,female,Bachelor,79072.0,0,RENT,6000.0,EDUCATION,11.99,0.08,2.0,627,Yes,0
40410,24.0,male,Bachelor,93790.0,0,RENT,6822.0,VENTURE,10.75,0.07,4.0,608,Yes,0
19537,29.0,female,Bachelor,67654.0,6,RENT,12000.0,DEBTCONSOLIDATION,7.88,0.18,8.0,669,No,0
15838,24.0,male,Associate,235014.0,2,MORTGAGE,5000.0,MEDICAL,8.9,0.02,3.0,703,No,0
27160,27.0,female,Associate,151231.0,5,MORTGAGE,24000.0,HOMEIMPROVEMENT,6.91,0.16,8.0,660,No,0
3017,25.0,male,Bachelor,51085.0,2,RENT,3200.0,MEDICAL,15.7,0.06,2.0,618,No,1
43196,33.0,male,Bachelor,47127.0,9,MORTGAGE,2558.0,PERSONAL,15.9,0.05,6.0,633,No,1
4730,22.0,female,Bachelor,36578.0,2,RENT,5000.0,EDUCATION,11.12,0.14,3.0,475,No,1
18755,29.0,female,High School,29442.0,9,RENT,1000.0,MEDICAL,9.99,0.03,7.0,614,Yes,0
28327,31.0,female,Master,100794.0,6,MORTGAGE,7500.0,MEDICAL,11.01,0.07,10.0,557,Yes,0
9662,25.0,female,High School,76644.0,1,MORTGAGE,3000.0,EDUCATION,13.47,0.04,2.0,666,Yes,0
10230,25.0,male,Associate,79957.0,2,OWN,15000.0,PERSONAL,7.49,0.19,4.0,641,Yes,0
43563,24.0,female,Associate,92397.0,0,MORTGAGE,15000.0,EDUCATION,12.63,0.16,3.0,513,No,1
16208,25.0,female,Associate,44317.0,3,RENT,15000.0,DEBTCONSOLIDATION,15.05,0.34,2.0,613,No,1
44960,23.0,female,Bachelor,16720.0,1,RENT,2457.0,VENTURE,12.89,0.15,4.0,636,No,1
42193,28.0,male,Bachelor,39702.0,4,RENT,10234.0,MEDICAL,7.36,0.26,8.0,615,No,1
4194,22.0,male,Associate,30066.0,0,RENT,4500.0,EDUCATION,11.49,0.15,2.0,648,No,0
24677,29.0,female,Bachelor,85142.0,6,RENT,10000.0,HOMEIMPROVEMENT,11.01,0.12,8.0,680,No,0
30087,50.0,male,Bachelor,55772.0,26,MORTGAGE,5000.0,PERSONAL,7.9,0.09,16.0,687,No,0
6737,22.0,female,Associate,74162.0,0,RENT,6000.0,EDUCATION,11.01,0.08,4.0,586,Yes,0
10521,26.0,female,Bachelor,64317.0,5,MORTGAGE,4000.0,MEDICAL,11.89,0.06,4.0,658,No,1
7708,24.0,male,Master,66320.0,5,MORTGAGE,8000.0,PERSONAL,8.63,0.12,4.0,626,No,0
31168,36.0,male,Associate,97114.0,15,MORTGAGE,10000.0,VENTURE,6.62,0.1,14.0,661,Yes,0
36150,36.0,female,Bachelor,90820.0,13,MORTGAGE,10000.0,HOMEIMPROVEMENT,11.75,0.11,12.0,696,Yes,0
4519,23.0,female,Bachelor,85041.0,2,RENT,4800.0,PERSONAL,11.01,0.06,2.0,578,Yes,0
10501,26.0,female,Master,82507.0,4,OWN,24250.0,PERSONAL,12.18,0.29,4.0,702,Yes,0
12571,23.0,male,High School,46827.0,0,OWN,8400.0,VENTURE,13.8,0.18,2.0,685,Yes,0
33224,25.0,male,High School,67076.0,2,RENT,4000.0,EDUCATION,8.57,0.06,3.0,601,Yes,0
40308,32.0,female,High School,53742.0,7,RENT,8000.0,MEDICAL,10.32,0.15,10.0,648,Yes,0
25048,29.0,male,Associate,96857.0,9,MORTGAGE,22000.0,MEDICAL,10.59,0.23,10.0,673,No,0
9352,23.0,male,Bachelor,74246.0,2,MORTGAGE,10000.0,DEBTCONSOLIDATION,7.88,0.13,3.0,583,Yes,0
34391,23.0,female,High School,111677.0,2,RENT,6887.0,VENTURE,12.23,0.06,4.0,577,Yes,0
4539,21.0,male,Bachelor,50084.0,0,OWN,5000.0,PERSONAL,7.74,0.1,3.0,678,Yes,0
3864,26.0,male,Bachelor,37097.0,5,RENT,4000.0,MEDICAL,14.27,0.11,2.0,673,No,1
42937,29.0,male,Bachelor,140223.0,8,MORTGAGE,24962.0,PERSONAL,13.39,0.18,8.0,687,No,1
13621,24.0,female,Associate,114678.0,2,MORTGAGE,10000.0,HOMEIMPROVEMENT,10.65,0.09,4.0,591,Yes,0
25083,31.0,female,Master,96956.0,6,MORTGAGE,10000.0,MEDICAL,11.01,0.1,5.0,603,Yes,0
8920,22.0,female,High School,72547.0,0,MORTGAGE,11200.0,VENTURE,5.79,0.15,4.0,566,No,0
37851,23.0,female,Bachelor,50889.0,2,RENT,7356.0,EDUCATION,12.0,0.14,3.0,593,Yes,0
40137,24.0,female,Associate,84747.0,5,RENT,8000.0,DEBTCONSOLIDATION,12.94,0.09,4.0,588,Yes,0
34858,25.0,male,Master,103093.0,1,RENT,15000.0,VENTURE,8.19,0.15,4.0,652,Yes,0
42955,34.0,male,Bachelor,26505.0,10,RENT,5000.0,HOMEIMPROVEMENT,13.45,0.19,8.0,669,No,1
17248,23.0,female,Bachelor,92495.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,11.01,0.1,3.0,634,No,1
18393,34.0,male,Bachelor,87607.0,13,RENT,20000.0,VENTURE,11.89,0.23,10.0,735,No,0
15424,26.0,male,Bachelor,162872.0,7,MORTGAGE,24000.0,DEBTCONSOLIDATION,12.99,0.15,2.0,706,Yes,0
33302,24.0,female,High School,62040.0,1,RENT,9830.0,HOMEIMPROVEMENT,9.57,0.16,3.0,653,Yes,0
3402,21.0,female,Associate,44067.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,9.32,0.18,3.0,583,No,0
6101,22.0,male,Master,15498.0,1,RENT,6000.0,DEBTCONSOLIDATION,8.88,0.39,4.0,708,No,1
41231,43.0,female,High School,67140.0,16,MORTGAGE,11750.0,DEBTCONSOLIDATION,10.99,0.18,17.0,676,Yes,0
4420,23.0,female,High School,49187.0,2,OTHER,10000.0,EDUCATION,12.72,0.2,2.0,583,No,0
15227,24.0,male,Bachelor,68051.0,0,RENT,15000.0,DEBTCONSOLIDATION,12.87,0.22,2.0,594,Yes,0
42787,24.0,male,Bachelor,136827.0,0,RENT,10191.0,PERSONAL,10.09,0.07,3.0,615,No,1
18336,28.0,male,Associate,25086.0,3,OWN,10000.0,MEDICAL,11.01,0.4,7.0,623,No,1
12831,22.0,female,Associate,102456.0,0,MORTGAGE,12000.0,VENTURE,6.91,0.12,3.0,648,Yes,0
8125,25.0,male,Bachelor,68111.0,1,MORTGAGE,3500.0,MEDICAL,14.17,0.05,3.0,692,Yes,0
6317,22.0,female,Associate,43178.0,1,RENT,6000.0,EDUCATION,11.01,0.14,2.0,658,Yes,0
24190,29.0,female,Bachelor,55272.0,6,RENT,10000.0,MEDICAL,11.01,0.18,5.0,662,No,0
26597,30.0,male,Bachelor,129544.0,8,MORTGAGE,2500.0,DEBTCONSOLIDATION,10.78,0.02,6.0,669,No,0
43367,30.0,female,Associate,108001.0,8,RENT,28869.0,DEBTCONSOLIDATION,7.97,0.27,7.0,602,No,1
13848,24.0,male,Associate,116992.0,0,MORTGAGE,14000.0,EDUCATION,17.19,0.12,4.0,655,Yes,0
35155,25.0,male,Master,136746.0,6,MORTGAGE,25000.0,PERSONAL,11.61,0.18,6.0,658,No,0
